,census_tract,population,female_population,median_household_income,0_to_9_years_old,10_to_19_years_old,20_to_29_years_old,30_to_39_years_old,40_to_49_years_old,50_to_59_years_old,60_to_69_years_old,70_to_79_years_old,80_years_old_and_older,total_households,households_whose_annual_income_less_than_10000_dollars,households_whose_annual_income_between_10000_and_50000_dollars,households_whose_annual_income_between_50000_and_200000_dollars,households_whose_annual_income_greater_than_200000_dollars,total_workforce,workforce_in_labor,healthcare_worker,commuting_by_car_or_truck_or_van,commuting_by_public_transportation_except_taxicabs,commuting_by_walk,commuting_by_taxicab_or_motorcycle_or_bicycle_or_other_means,commuting_time_less_than_20_minutes,commuting_time_between_20_and_60_minutes,commuting_time_over_60_minutes,white,black_or_african_american,american_indian_and_alaska_native,asian,non_hispanic_white,hispanic_or_latino,no_schooling_completed,high_schooling_graduate,bachelor's_degree,occupied_housing_units,owner_occupied_housing_units,no_health_insurance_covered
1032,48113010803,7222,3720,,980.0,1165.0,870.0,874.0,1074.0,902.0,694.0,322.0,341.0,2529.0,155.0,1237.0,1130.0,7.0,5571.0,3907.0,480.0,3095.0,159.0,1.0,80.0,839.0,2186.0,310.0,3867.0,3066.0,23.0,0.0,1015.0,3090.0,208.0,1165.0,598.0,11813.0,11834.0,1520.0
1033,48231961000,4471,2362,,637.0,662.0,823.0,573.0,530.0,587.0,425.0,128.0,106.0,1473.0,182.0,781.0,510.0,0.0,3462.0,1855.0,146.0,1539.0,0.0,10.0,34.0,1086.0,313.0,184.0,2463.0,852.0,5.0,90.0,2279.0,1211.0,53.0,913.0,264.0,7853.0,7846.0,917.0
1034,48439113404,6037,3084,,1036.0,472.0,865.0,978.0,534.0,773.0,711.0,436.0,232.0,2220.0,140.0,844.0,1158.0,78.0,4756.0,3286.0,235.0,2652.0,65.0,101.0,11.0,1029.0,1666.0,134.0,5229.0,162.0,16.0,189.0,3989.0,1583.0,51.0,1129.0,515.0,9829.0,9824.0,1042.0
1035,48113017807,5865,2949,,953.0,786.0,1063.0,1005.0,661.0,664.0,453.0,208.0,72.0,2194.0,74.0,1096.0,1024.0,0.0,4404.0,3521.0,365.0,3056.0,34.0,13.0,160.0,1077.0,2045.0,141.0,4568.0,720.0,212.0,34.0,1924.0,3052.0,77.0,1220.0,375.0,9895.0,5921.0,1749.0
1036,48113009900,3043,1575,,531.0,231.0,706.0,697.0,380.0,330.0,112.0,20.0,36.0,1376.0,79.0,598.0,653.0,46.0,2362.0,1836.0,239.0,1479.0,23.0,51.0,16.0,743.0,810.0,16.0,1847.0,453.0,0.0,559.0,942.0,1016.0,8.0,572.0,536.0,4001.0,2011.0,1083.0
1037,48113015700,2767,1323,,535.0,481.0,441.0,403.0,316.0,240.0,238.0,89.0,24.0,693.0,24.0,367.0,302.0,0.0,1951.0,1231.0,17.0,1092.0,0.0,0.0,83.0,328.0,775.0,72.0,2363.0,77.0,35.0,36.0,312.0,2331.0,29.0,604.0,55.0,3911.0,3912.0,690.0
1038,48113018105,6317,3028,,1117.0,1154.0,858.0,825.0,1052.0,740.0,304.0,203.0,64.0,1615.0,61.0,798.0,749.0,7.0,4588.0,3172.0,339.0,2653.0,44.0,16.0,33.0,887.0,1724.0,135.0,3360.0,746.0,79.0,175.0,1156.0,3978.0,108.0,1042.0,257.0,7879.0,7875.0,1965.0
1039,48439106509,5156,2848,,787.0,788.0,813.0,813.0,789.0,538.0,406.0,184.0,38.0,1974.0,197.0,682.0,978.0,117.0,3800.0,2737.0,327.0,2292.0,0.0,24.0,76.0,638.0,1510.0,244.0,2632.0,1841.0,24.0,432.0,2162.0,570.0,53.0,489.0,669.0,5984.0,5998.0,699.0
1040,48113013622,2749,1494,,234.0,182.0,619.0,496.0,359.0,325.0,171.0,157.0,206.0,1542.0,30.0,760.0,597.0,155.0,2404.0,1777.0,191.0,1609.0,39.0,17.0,6.0,783.0,830.0,58.0,1447.0,411.0,0.0,237.0,1316.0,560.0,11.0,337.0,625.0,3973.0,1988.0,455.0
1041,48439102800,1358,744,,209.0,88.0,100.0,174.0,232.0,314.0,143.0,54.0,44.0,590.0,0.0,126.0,352.0,112.0,1102.0,797.0,150.0,730.0,0.0,7.0,10.0,520.0,207.0,20.0,1310.0,9.0,0.0,12.0,1100.0,210.0,0.0,86.0,402.0,3878.0,3878.0,103.0
